Postal Code,Area,District,Latitude,Longitude
20546,Pupuressa,Kandy,7.126200,80.669200
20560,Kotmale,Nuwara Eliya,7.014200,80.589700
20562,Ulapane,Kandy,7.103100,80.557200
20564,Mawatura,Kandy,7.100000,80.566700
20566,Maswela,Nuwara Eliya,7.066700,80.633300
20567,Doragala,Nuwara Eliya,7.071000,80.586700
20568,Nayapana Janapadaya,Nuwara Eliya,7.071000,80.586700
20574,Atabage,Kandy,7.135400,80.609100
20578,Paradeka,Kandy,7.112300,80.607000
20580,Pussellawa,Kandy,7.107300,80.632200
20588,Katukitula,Nuwara Eliya,7.074100,80.658400
20590,Ramboda,Nuwara Eliya,7.045700,80.687600
20592,Labukele,Nuwara Eliya,7.045700,80.687600
20610,Weligalla,Kandy,7.190700,80.586500
20620,Gelioya,Kandy,7.215700,80.596700
20640,Velamboda,Kandy,7.044700,80.523500
20644,Bambaragahaela,Kandy,7.044700,80.523500
20650,Nawalapitiya,Kandy,7.053400,80.532100
20654,Pasbage,Kandy,7.035000,80.524400
20656,Gonawalapatana,Kandy,7.035000,80.524400
20658,Dekinda,Kandy,7.016700,80.516700
20660,Ketaboola,Nuwara Eliya,7.024300,80.550400
20662,Mapakanda,Kandy,7.024300,80.550400
20664,Galaboda,Kandy,6.986400,80.529500
20666,Weligampola,Kandy,7.024300,80.550400
20668,Hapugastalawa,Nuwara Eliya,7.062100,80.571300
20669,Harangalagama,Nuwara Eliya,7.024300,80.550400
20670,Nawathispane,Nuwara Eliya,7.035900,80.517400
20676,Rambukpitiya,Kandy,7.035900,80.517400
20678,Ambagamuwa Udabulathgama,Nuwara Eliya,7.035900,80.517400
20680,Ginigathena,Nuwara Eliya,6.990300,80.487700
20682,Pitawala,Nuwara Eliya,6.998400,80.451300
20684,Dagampitiya,Nuwara Eliya,6.975900,80.473800
20686,Ambatalawa,Nuwara Eliya,6.965800,80.495800
20688,Kelanigama,Nuwara Eliya,6.982600,80.477200
20702,Mailapitiya,Kandy,7.199800,80.755200
20708,Unuwinna,Kandy,7.199800,80.755200
20710,Hanguranketha,Kandy,7.125200,80.787900
20712,Gonagantenna,Kandy,7.125200,80.787900
20714,Marymount Colony,Kandy,7.125200,80.787900
20722,Udawatta,Kandy,7.172700,80.814900
20724,lllagolla,Kandy,7.172700,80.814900
20730,Rikillagaskada,Kandy,7.144000,80.783400
20732,Ekiriya,Kandy,7.147400,80.756200
20734,Pallebowala,Kandy,7.140200,80.779200
20738,Karandagolla,Kandy,7.129300,80.798000
20742,Elamulla,Kandy,7.054200,80.779200
20744,Mandaram,Kandy,7.064200,80.784400
20748,Maturata,Kandy,7.074200,80.789700
20750,Padiyapelella,Nuwara Eliya,7.087700,80.804400
20752,Munwatta,Nuwara Eliya,7.117400,80.809900
20800,Katugastota,Kandy,7.327600,80.621200
20802,Udatalawinna,Kandy,7.343000,80.646300
20810,Wattegama,Kandy,7.349300,80.680800
20816,Doragamuwa,Kandy,7.363800,80.655700
20818,Rathukohodigala,Kandy,7.356600,80.668300
20822,Jambugahapitiya,Kandy,7.379200,80.642900
20824,Dunuwila,Kandy,7.379200,80.642900
20828,Makkanigama,Kandy,7.379200,80.642900
20830,Panvila,Kandy,7.066500,80.691900
20838,Tawalantenna,Kandy,7.066500,80.691900
20840,Madulkele,Kandy,7.397900,80.731000
20850,Akurana,Kandy,7.366700,80.616700
20900,Teldeniya,Kandy,7.296900,80.768600
20902,Kumbukkandura,Kandy,7.314700,80.761600
20904,Senarathwela,Kandy,7.314700,80.761600
20906,Putuhapuwa,Kandy,7.332500,80.754500
20908,Werapitya,Kandy,7.314700,80.761600
20914,Wendaruwa,Kandy,7.307600,80.887000
20916,Udispattuwa,Kandy,7.307600,80.887000
20921,Makuldeniya,Kandy,7.333300,80.783300
20922,Rangala,Kandy,7.353900,80.785300
20923,Mimure,Kandy,7.433300,80.833300
20924,Kahataliyadda,Kandy,7.376000,80.821300
20926,Kalugala,Kandy,7.383300,80.883300
20928,Kobonila,Kandy,7.376000,80.821300
20932,Bopana,Kandy,7.300000,80.900000
20934,Uduwahinna,Kandy,7.283300,80.891700
20938,Madugalla,Kandy,7.266700,80.883300
20940,Medamahanuwara,Kandy,7.300000,80.850000
20945,Mahadoraliyadda,Kandy,7.300000,80.850000
20948,Hunnasgiriya,Kandy,7.300000,80.850000
20950,Ududumbara,Kandy,7.307600,80.887000
20960,Hasalaka,Kandy,7.287900,80.961600
20965,Ulpothagama,Kandy,7.159200,80.989800
20966,Batumulla,Kandy,7.416700,80.933300
20967,Barawardhana Oya,Kandy,7.287900,80.961600
20971,Kolongoda,Kandy,7.307600,80.887000
20982,Weragantota,Kandy,7.316700,80.983300
20983,Minipe,Kandy,7.218200,80.977500
20984,Handaganawa,Kandy,7.283300,80.983300
20986,Ambagahapelessa,Kandy,7.219700,80.995800
20990,Rantembe,Kandy,7.307600,80.887000
21000,Matale,Matale,7.469800,80.621700
21004,Alwatta,Matale,7.443200,80.662000
21006,Udatenna,Matale,7.416700,80.650000
21008,Leliambe,Matale,7.432400,80.650100
21009,Wehigala,Matale,7.400000,80.666700
21012,Elkaduwa,Matale,7.414500,80.682500
21014,Karagahinna,Matale,7.360100,80.382000
21016,Katudeniya,Matale,7.305800,80.081400
21020,Ovilikanda,Matale,7.450000,80.566700
21032,Dankanda,Matale,7.529300,80.698900
21042,Kiwula,Matale,7.519300,80.565700
21044,Muwandeniya,Matale,7.516700,80.533300
21046,Dunkolawatta,Matale,7.519300,80.565700
21048,Walawela,Matale,7.521900,80.598100
21051,Udasgiriya,Matale,7.532400,80.577400
21054,Dullewa,Matale,7.508000,80.600300
21055,Melipitiya,Matale,7.549200,80.587400
21056,Yatawatta,Matale,7.564900,80.582100
21058,Selagama,Matale,7.591600,80.589900
21062,Metihakka,Matale,7.536800,80.658200
21064,Imbulgolla,Matale,7.571600,80.670700
21066,Kaikawala,Matale,7.507200,80.656900
21068,Gammaduwa,Matale,7.568600,80.696100
21070,Palapathwela,Matale,7.608300,80.659500
21072,Kavudupelella,Matale,7.581300,80.626700
21074,Madawala Ulpotha,Matale,7.608300,80.659500
21076,Opalgala,Matale,7.635300,80.692300
21082,Nalanda,Matale,7.660600,80.642400
21090,Naula,Matale,7.704700,80.654200
21094,Lenadora,Matale,7.751900,80.660800
21100,Dambulla,Matale,7.860000,80.651700
21106,Kandalama,Matale,7.866700,80.716700
21108,Erawula Junction,Matale,7.863300,80.684200
21112,Kalundawa,Matale,7.800000,80.716700
21114,Wewalawewa,Matale,7.810300,80.666900
21116,Talakiriyagama,Matale,7.820600,80.617200
21120,Sigiriya,Matale,7.951800,80.742600
21122,Kibissa,Matale,7.941200,80.725200
21124,Inamaluwa,Matale,7.931400,80.684500
21140,Mahawela,Matale,7.586900,80.607200
21142,Akuramboda,Matale,7.646700,80.601400
21144,Mananwatta,Matale,7.616800,80.604300
21152,Pallepola,Matale,7.624600,80.600600
21154,Millawana,Matale,7.650300,80.577200
21156,Madipola,Matale,7.683300,80.583300
21160,Wahacotte,Matale,7.714200,80.597200
21200,Galewela,Matale,7.758900,80.568300
21206,Dewahuwa,Matale,7.758900,80.568300
21212,Bambaragaswewa,Matale,7.783300,80.533300
21214,Beligamuwa,Matale,7.716700,80.550000
21300,Ukuwela,Matale,7.422800,80.616700
21400,Rattota,Matale,7.520500,80.679800
21402,Etanawala,Matale,7.520500,80.679800
21404,Gangala Puwakpitiya,Matale,7.520500,80.679800
21406,lllukkumbura,Matale,7.520500,80.679800
21408,Welangahawatte,Matale,7.520500,80.679800
21500,Kongahawela,Matale,7.674200,80.717100
21502,Pubbiliya,Matale,7.733300,80.716700
21504,Ambana,Matale,7.657900,80.690900
21506,Talagoda Junction,Matale,7.688500,80.708200
21512,Ataragallewa,Matale,7.662200,80.772800
21514,Hattota Amuna,Matale,7.662200,80.772800
21520,Laggala Pallegama,Matale,7.662200,80.772800
21524,Ranamuregama,Matale,7.662200,80.772800
21530,Wilgamuwa,Matale,7.662200,80.772800
21532,Perakanatta,Matale,7.662200,80.772800
21534,Nugagolla,Matale,7.662200,80.772800
21536,Handungamuwa,Matale,7.662200,80.772800
21538,Dunuwilapitiya,Matale,7.662200,80.772800
21552,Devagiriya,Matale,7.583300,80.966700
